Gene	Non-unique Gene name	Annotation
group_219		hypothetical protein
group_233		hypothetical protein
slmA		Nucleoid occlusion factor SlmA
emrY_1		putative multidrug resistance protein EmrY
group_2699		hypothetical protein
group_2966		hypothetical protein
group_305		hypothetical protein
group_333		hypothetical protein
group_336		hypothetical protein
group_3585		hypothetical protein
group_359	yezG_3	putative antitoxin YezG
group_3643		hypothetical protein
group_3699		hypothetical protein
group_3715	yhaI	Inner membrane protein YhaI
group_3789		hypothetical protein
group_404		hypothetical protein
group_4147		hypothetical protein
group_4148		hypothetical protein
group_4271		hypothetical protein
group_4273		hypothetical protein
dfrD		Dihydrofolate reductase
uppP_2		Undecaprenyl-diphosphatase
pre		Plasmid recombination enzyme
ble		Bleomycin resistance protein
group_5101		hypothetical protein
group_618		hypothetical protein
group_676		hypothetical protein
group_884		hypothetical protein
group_940	lacC_1	Tagatose-6-phosphate kinase
group_1264	sftA	DNA translocase SftA
group_1364		hypothetical protein
group_1396		hypothetical protein
group_1410		hypothetical protein
group_1480	acp	Sodium/proton-dependent alanine carrier protein
group_1516		hypothetical protein
group_1744		hypothetical protein
group_1869	lipA_2	Lipoyl synthase
group_1899	hly	Alpha-hemolysin
group_2052	yhdN_1	General stress protein 69
group_2109	femX	Lipid II:glycine glycyltransferase
group_2223		hypothetical protein
group_2267		hypothetical protein
group_228		hypothetical protein
group_2562	sglT	Sodium/glucose cotransporter
group_2571		hypothetical protein
group_2609		hypothetical protein
group_2649	nudF	ADP-ribose pyrophosphatase
group_2840	cdaR	CdaA regulatory protein CdaR
group_2942		hypothetical protein
group_2971	yezG_2	putative antitoxin YezG
group_2981		hypothetical protein
group_3092		hypothetical protein
group_3217		hypothetical protein
group_3222		hypothetical protein
group_3273	scn_3	Staphylococcal complement inhibitor
group_334		hypothetical protein
group_347		hypothetical protein
yezG_7		putative antitoxin YezG
group_3634		hypothetical protein
group_3738		hypothetical protein
group_374		hypothetical protein
group_3841		hypothetical protein
group_3847		hypothetical protein
group_3857		hypothetical protein
group_3918		hypothetical protein
group_3949		hypothetical protein
group_4145		hypothetical protein
group_4146		hypothetical protein
group_4252		hypothetical protein
group_4253		hypothetical protein
group_4254		hypothetical protein
isp		Intracellular serine protease
group_4293		hypothetical protein
group_4924	lexA_1	LexA repressor
group_4925		hypothetical protein
group_4929		hypothetical protein
group_5034		hypothetical protein
group_5383		hypothetical protein
group_5389		hypothetical protein
group_6075		tRNA-Ala(tgc)
group_72		hypothetical protein
group_85	clfA	Clumping factor A
group_92	yezG_5	putative antitoxin YezG
group_945		hypothetical protein
group_1210		hypothetical protein
group_128		hypothetical protein
group_1353	dnaC_2	DNA replication protein DnaC
group_1379		hypothetical protein
group_1431		hypothetical protein
group_1443		hypothetical protein
group_1616	ldhD_2	D-lactate dehydrogenase
group_1655	yxeP_3	putative hydrolase YxeP
group_168	ebh_4	Extracellular matrix-binding protein ebh
lysX		Alpha-aminoadipate--LysW ligase LysX
group_1947		hypothetical protein
group_203		65 kDa membrane protein
bbp		Bone sialoprotein-binding protein
group_2225	desK	Sensor histidine kinase DesK
group_224		hypothetical protein
group_230		hypothetical protein
group_2315	mecR1	Methicillin resistance mecR1 protein
group_2350	lss	Lysostaphin
ywqE_1		Tyrosine-protein phosphatase YwqE
group_2952		hypothetical protein
group_2953		hypothetical protein
group_3137		hypothetical protein
group_346		hypothetical protein
group_3576		hypothetical protein
group_3577	tagE_3	Poly(glycerol-phosphate) alpha-glucosyltransferase
group_3653		Staphylocoagulase
group_3663		hypothetical protein
group_3664		hypothetical protein
group_3668		hypothetical protein
fas2		Ferredoxin fas2
group_3724		hypothetical protein
group_3725		hypothetical protein
group_3740		hypothetical protein
group_3743		hypothetical protein
group_377		Ribonuclease
hhaIM		Modification methylase HhaI
prkC_2		Serine/threonine-protein kinase PrkC
group_3923		hypothetical protein
group_3924		hypothetical protein
kdpD_1		Sensor protein KdpD
group_4294		hypothetical protein
group_442		hypothetical protein
group_4424		hypothetical protein
bacD		Alanine--anticapsin ligase
dxs		1-deoxy-D-xylulose-5-phosphate synthase
lysK		[LysW]-lysine hydrolase
argC_1		N-acetyl-gamma-glutamyl-phosphate reductase
per		GDP-perosamine synthase
group_4434		hypothetical protein
group_4482		hypothetical protein
sau3AIR		Type-2 restriction enzyme Sau3AI
group_474		hypothetical protein
group_5135		hypothetical protein
kdpB_1		Potassium-transporting ATPase ATP-binding subunit
kdpA_1		Potassium-transporting ATPase potassium-binding subunit
kdpE_1		KDP operon transcriptional regulatory protein KdpE
group_593		hypothetical protein
group_675		hypothetical protein
group_809		hypothetical protein
group_999	accC	Biotin carboxylase
group_1365		hypothetical protein
group_1540		putative oxidoreductase
group_1656	hutI	Imidazolonepropionase
group_1772		hypothetical protein
group_1830	ywqN	Putative NAD(P)H-dependent FMN-containing oxidoreductase YwqN
group_1857		hypothetical protein
group_1858		hypothetical protein
group_1900	hly	Alpha-hemolysin
group_1940		hypothetical protein
group_1960		hypothetical protein
group_2277		hypothetical protein
group_243		hypothetical protein
group_255	ebh_2	Extracellular matrix-binding protein ebh
group_256	yezG_1	putative antitoxin YezG
proC_2		Pyrroline-5-carboxylate reductase
group_3084		hypothetical protein
group_3086		hypothetical protein
splE_1		Serine protease SplE
splE_2		Serine protease SplE
group_3143		putative lipoprotein
group_35	sdrC	Serine-aspartate repeat-containing protein C
group_3636		hypothetical protein
group_3694		hypothetical protein
group_3696		hypothetical protein
group_3718		hypothetical protein
group_3719		hypothetical protein
group_3721		hypothetical protein
group_3901		hypothetical protein
group_3921		hypothetical protein
group_4054		hypothetical protein
group_4130	norB_2	Nitric oxide reductase subunit B
aacA-aphD		Bifunctional AAC/APH
group_4364		hypothetical protein
group_4365		hypothetical protein
group_4366		hypothetical protein
group_4367		hypothetical protein
group_4368		hypothetical protein
group_4369		hypothetical protein
group_4370		hypothetical protein
group_4371		hypothetical protein
group_4372		hypothetical protein
group_4373		hypothetical protein
group_4374		putative lipoprotein
group_4375		hypothetical protein
group_4376		hypothetical protein
group_4377		hypothetical protein
group_4378		hypothetical protein
paiB		Protease synthase and sporulation protein PAI 2
group_4380	nikB_1	Nickel transport system permease protein NikB
group_4383	yitU_2	5-amino-6-(5-phospho-D-ribitylamino)uracil phosphatase YitU
group_4384		hypothetical protein
group_4390		hypothetical protein
group_4392		hypothetical protein
group_4393	scn_1	Staphylococcal complement inhibitor
group_4394	flr	FPRL1 inhibitory protein
ulaC		Ascorbate-specific PTS system EIIA component
group_4403	licR	putative licABCH operon regulator
group_4411	gph_3	Phosphoglycolate phosphatase
group_4415		hypothetical protein
group_4417		hypothetical protein
group_4418	hylB	Hyaluronate lyase
group_4419		hypothetical protein
group_4420		hypothetical protein
group_4421		hypothetical protein
group_4425		hypothetical protein
lrpC		HTH-type transcriptional regulator LrpC
group_4427		hypothetical protein
emrB_3		Multidrug export protein EmrB
group_4435		hypothetical protein
yhfK_1		putative sugar epimerase YhfK
group_4437		hypothetical protein
group_4475		hypothetical protein
group_4483		hypothetical protein
group_4488		hypothetical protein
group_4660		hypothetical protein
group_4923		hypothetical protein
group_4930		hypothetical protein
group_4932		hypothetical protein
group_4933		hypothetical protein
group_495		hypothetical protein
group_508		hypothetical protein
group_5119		hypothetical protein
group_5134		hypothetical protein
group_541		hypothetical protein
group_609		Putative metallophosphoesterase MG207 
group_679		hypothetical protein
group_898		Staphylocoagulase
group_94	yezG_1	putative antitoxin YezG
group_10		hypothetical protein
group_1194		hypothetical protein
group_1301		putative lipoprotein
group_1356		hypothetical protein
group_1400		hypothetical protein
cna_1		Collagen adhesin
group_1449		hypothetical protein
group_1728	fccB	Sulfide dehydrogenase [flavocytochrome c] flavoprotein chain
group_1823		hypothetical protein
group_2237		hypothetical protein
group_2264		5S ribosomal RNA (partial)
group_2531	agrA	Accessory gene regulator A
group_2755	icaC	putative poly-beta-1,6-N-acetyl-D-glucosamine export protein
group_2947		hypothetical protein
group_2956		putative type I restriction enzymeP M protein
group_2975		hypothetical protein
group_3153		hypothetical protein
group_352		hypothetical protein
group_3604		hypothetical protein
group_3641		hypothetical protein
group_3679		hypothetical protein
group_3682		hypothetical protein
group_3737		hypothetical protein
group_387		hypothetical protein
group_433		hypothetical protein
group_4445		hypothetical protein
group_4446		hypothetical protein
group_4474		hypothetical protein
group_4480		hypothetical protein
noc_2		Nucleoid occlusion protein
group_5168		hypothetical protein
group_5184		hypothetical protein
group_595	atl_2	Bifunctional autolysin
group_608		Putative metallophosphoesterase MG207 
group_6501		hypothetical protein
rocD2_3		Ornithine aminotransferase 2
group_708	plc	1-phosphatidylinositol phosphodiesterase
group_737	oppF_1	Oligopeptide transport ATP-binding protein OppF
group_9		hypothetical protein
group_943	fruA_1	PTS system fructose-specific EIIABC component
group_112		hypothetical protein
group_1424		hypothetical protein
group_1510	dprA	hypothetical protein
group_160		hypothetical protein
secY2_2		Accessory Sec system protein translocase subunit SecY2
group_1773		putative lipoprotein
group_1790		hypothetical protein
group_1962		hypothetical protein
group_2260		hypothetical protein
group_2272		hypothetical protein
group_2488	putP	Sodium/proline symporter
group_2883		tRNA-His(gtg)
group_3112		hypothetical protein
group_3136		hypothetical protein
group_3792		hypothetical protein
group_393	lpl2_1	putative lipoprotein
group_4281		hypothetical protein
group_4400		hypothetical protein
group_4440		hypothetical protein
xre		HTH-type transcriptional regulator Xre
group_4460		hypothetical protein
ddpF		putative D,D-dipeptide transport ATP-binding protein DdpF
group_4472		hypothetical protein
group_4473		hypothetical protein
group_4476		hypothetical protein
group_4477		hypothetical protein
group_4478		hypothetical protein
group_4479		hypothetical protein
group_4669		hypothetical protein
group_4670		hypothetical protein
group_4671		hypothetical protein
group_4672		hypothetical protein
group_4673		hypothetical protein
group_4674		hypothetical protein
group_4675		hypothetical protein
group_4676		hypothetical protein
group_48	ebhA	Extracellular matrix-binding protein EbhA
group_486	yezG_6	putative antitoxin YezG
group_5397		hypothetical protein
group_5398	agrB	Accessory gene regulator protein B
group_677		hypothetical protein
group_716	bceB_2	Bacitracin export permease protein BceB
group_894		hypothetical protein
group_905		hypothetical protein
group_100	yezG_1	putative antitoxin YezG
group_1083		hypothetical protein
group_1110		hypothetical protein
group_1411		hypothetical protein
cna_2		Collagen adhesin
group_1475		hypothetical protein
group_2002		hypothetical protein
group_207		putative lipoprotein
group_2126	cynR_2	HTH-type transcriptional regulator CynR
group_2173		hypothetical protein
group_2356		hypothetical protein
group_2466	rplS	50S ribosomal protein L19
group_2601	czcD_2	Cadmium, cobalt and zinc/H( )-K( ) antiporter
group_2976		hypothetical protein
group_3030	yezG_3	putative antitoxin YezG
group_3088		hypothetical protein
group_3216		hypothetical protein
group_328		hypothetical protein
group_356	yezG_6	putative antitoxin YezG
group_3639		hypothetical protein
group_3644		hypothetical protein
group_37	sdrD	Serine-aspartate repeat-containing protein D
group_3702		hypothetical protein
pre_1		Plasmid recombination enzyme
pre_2		Plasmid recombination enzyme
group_378		hypothetical protein
group_3958		hypothetical protein
group_3987		hypothetical protein
group_4011		hypothetical protein
group_4013		hypothetical protein
group_4014		hypothetical protein
group_4015		hypothetical protein
group_4107		hypothetical protein
group_4243		hypothetical protein
group_4261		hypothetical protein
group_4299		hypothetical protein
group_4668		hypothetical protein
group_4893		hypothetical protein
ermC'		rRNA adenine N-6-methyltransferase
group_5237		hypothetical protein
group_5238		hypothetical protein
group_5240		hypothetical protein
group_5584		hypothetical protein
group_5620		hypothetical protein
group_630	fic	hypothetical protein
group_6813		hypothetical protein
group_890	lpl2_3	putative lipoprotein
group_103		hypothetical protein
group_1060	msbA	putative ABC transporter ATP-binding protein
group_1111	hin_1	DNA-invertase hin
group_1115	hin_1	DNA-invertase hin
group_1142		hypothetical protein
group_120		hypothetical protein
group_1219		hypothetical protein
group_1247		hypothetical protein
group_1351	gsiC_2	Glutathione transport system permease protein GsiC
group_1421		hypothetical protein
group_1450		hypothetical protein
group_1470	setC	Sugar efflux transporter C
group_1557		Oleate hydratase
group_1642	icaA	Poly-beta-1,6-N-acetyl-D-glucosamine synthase
group_1718		hypothetical protein
group_1758		hypothetical protein
group_1821	dppE	Dipeptide-binding protein DppE
group_1907		hypothetical protein
group_1910	yfnB	Putative HAD-hydrolase YfnB
group_1932	lytN_2	putative cell wall hydrolase LytN
glpE		Thiosulfate sulfurtransferase GlpE
group_2148	deoD1	Purine nucleoside phosphorylase DeoD-type 1
group_2967		Putative prophage phiRv2 integrase
group_308		hypothetical protein
kdpC_1		Potassium-transporting ATPase KdpC subunit
group_3110		hypothetical protein
group_3123		Staphylocoagulase
group_3135		hypothetical protein
group_3215	ssbA_3	Single-stranded DNA-binding protein A
group_3266		hypothetical protein
group_3339	tst_2	Toxic shock syndrome toxin-1
group_3402		hypothetical protein
group_3709		hypothetical protein
group_3804		hypothetical protein
group_3865		hypothetical protein
group_3884		hypothetical protein
group_3911	entA_2	Enterotoxin type A
group_3920		hypothetical protein
group_3988		hypothetical protein
group_416		hypothetical protein
group_428		hypothetical protein
group_4341		hypothetical protein
group_4439		hypothetical protein
group_4442		hypothetical protein
group_451		hypothetical protein
group_5120		hypothetical protein
group_5129		hypothetical protein
group_5167		hypothetical protein
group_5236	yezG_5	putative antitoxin YezG
group_5239		hypothetical protein
group_59	spa	Immunoglobulin G-binding protein A
group_5910	coaD	Phosphopantetheine adenylyltransferase
femB_1		Aminoacyltransferase FemB
group_6224	rpmF	50S ribosomal protein L32
group_642		hypothetical protein
group_6503		hypothetical protein
group_6563		hypothetical protein
group_662	gph_3	Phosphoglycolate phosphatase
group_773		hypothetical protein
group_888	lpl2_3	putative lipoprotein
group_91	yezG_4	putative antitoxin YezG
group_938		hypothetical protein
group_1093		hypothetical protein
group_1100	xerD_3	Tyrosine recombinase XerD
group_1133		hypothetical protein
group_1145		hypothetical protein
group_1158		hypothetical protein
group_1171		hypothetical protein
group_12		hypothetical protein
group_1225	mutS_1	DNA mismatch repair protein MutS
group_1259		hypothetical protein
group_1343	splC	Serine protease SplC
group_1347	appA	Oligopeptide-binding protein AppA
group_1388		hypothetical protein
group_1393		hypothetical protein
group_1406		hypothetical protein
group_1551	deoC2	Deoxyribose-phosphate aldolase 2
group_1856		hypothetical protein
group_2177		hypothetical protein
group_2287		hypothetical protein
group_2355		hypothetical protein
group_2409		hypothetical protein
group_2411		hypothetical protein
group_2618		hypothetical protein
group_2681		Cobalt-dependent inorganic pyrophosphatase
group_283		hypothetical protein
group_2955		hypothetical protein
group_302		hypothetical protein
group_3046		hypothetical protein
group_3075		hypothetical protein
group_3124		hypothetical protein
group_3152		hypothetical protein
group_3155		hypothetical protein
group_3609		hypothetical protein
entE		Enterotoxin type E
group_3647		hypothetical protein
group_3797		hypothetical protein
group_3941		hypothetical protein
group_3950		hypothetical protein
group_3969		hypothetical protein
group_3972		hypothetical protein
mcrB		5-methylcytosine-specific restriction enzyme B
group_4026		hypothetical protein
group_4046	lexA_2	LexA repressor
group_4081		hypothetical protein
group_4236		hypothetical protein
group_4244		hypothetical protein
group_4621	speC_1	Exotoxin type C
group_4659		hypothetical protein
group_5146		hypothetical protein
group_5151		hypothetical protein
group_5185	hin_3	DNA-invertase hin
group_5247		hypothetical protein
group_5248		hypothetical protein
group_5249		hypothetical protein
apr		Subtilisin DY
group_5271		hypothetical protein
group_5403		hypothetical protein
group_548		Putative NAD(P)H nitroreductase
group_592		hypothetical protein
emrY_2		putative multidrug resistance protein EmrY
group_656		hypothetical protein
group_66		hypothetical protein
group_702	gltA	Glutamate synthase [NADPH] large chain
group_858	kipI_2	Kinase A inhibitor
group_1129		hypothetical protein
group_1190		hypothetical protein
group_1223		putative leukocidin-like protein 1
group_1266		hypothetical protein
group_1420		hypothetical protein
group_1447		hypothetical protein
group_1448		hypothetical protein
group_1601	glpQ_1	Glycerophosphodiester phosphodiesterase
group_172		hypothetical protein
group_1733		hypothetical protein
group_1792	ftsK_1	DNA translocase FtsK
group_1818		hypothetical protein
group_1853		hypothetical protein
group_1912	yfiH	Laccase domain protein YfiH
group_2072	hylB	Hyaluronate lyase
group_2341		hypothetical protein
group_2358		hypothetical protein
group_2368		hypothetical protein
ribZ		Multidrug export protein EmrB
group_2843		tRNA-Lys(ttt)
group_289		hypothetical protein
group_293		hypothetical protein
group_3033		hypothetical protein
group_3089		hypothetical protein
group_3108		hypothetical protein
group_3109		hypothetical protein
gph_4		Phosphoglycolate phosphatase
group_3312		hypothetical protein
group_3403		hypothetical protein
group_3830		hypothetical protein
entA_5		Enterotoxin type A
group_3929		hypothetical protein
group_3943		hypothetical protein
group_396	lpl2_4	putative lipoprotein
group_3989		hypothetical protein
group_3990		hypothetical protein
group_3992		hypothetical protein
argO_1		Arginine exporter protein ArgO
group_4028		hypothetical protein
group_4248		hypothetical protein
group_427		hypothetical protein
group_4898		hypothetical protein
group_5124	entD_1	Enterotoxin type D
group_5127		hypothetical protein
group_5128		hypothetical protein
group_5139		hypothetical protein
entG_1		Enterotoxin type G
group_5166		hypothetical protein
group_522		hypothetical protein
group_5337	arsC	Glutaredoxin arsenate reductase
arsB_2		Arsenical pump membrane protein
sdpR_2		Transcriptional repressor SdpR
group_5385		hypothetical protein
group_5386		hypothetical protein
group_5387		hypothetical protein
group_5388		hypothetical protein
alkA		DNA-3-methyladenine glycosylase
group_5394		hypothetical protein
pbuE_2		Purine efflux pump PbuE
group_5396		hypothetical protein
group_5400		hypothetical protein
group_5401	norG	HTH-type transcriptional regulator NorG
group_5704		hypothetical protein
group_573		hypothetical protein
group_643		hypothetical protein
group_823		hypothetical protein
group_828	lip2_1	Lipase 2
group_835	tuaA	Putative undecaprenyl-phosphate N-acetylgalactosaminyl 1-phosphate transferase
group_933	mnhD1_2	Na( )/H( ) antiporter subunit D1
group_963	infB	Translation initiation factor IF-2
group_1046		hypothetical protein
group_1065	sigB	RNA polymerase sigma-B factor
group_1119		hypothetical protein
group_114		hypothetical protein
group_1160		hypothetical protein
group_1162		hypothetical protein
group_1218		hypothetical protein
group_1262	tag	DNA-3-methyladenine glycosylase 1
group_1433		hypothetical protein
group_1536		Protein-ADP-ribose hydrolase
group_1652	ecfA1	Energy-coupling factor transporter ATP-binding protein EcfA1
group_1732	racA	Chromosome-anchoring protein RacA
group_1742	bin3	Putative transposon Tn552 DNA-invertase bin3
dppE_1		Dipeptide-binding protein DppE
group_1970	gltB_1	Glutamate synthase [NADPH] small chain
group_2023		hypothetical protein
group_229		hypothetical protein
group_2291	Int-Tn_2	Transposase from transposon Tn916
group_2366		hypothetical protein
group_2436	oppD_3	Oligopeptide transport ATP-binding protein OppD
group_244		hypothetical protein
group_2456		hypothetical protein
group_2683	serA	D-3-phosphoglycerate dehydrogenase
group_2857	hchA	Molecular chaperone Hsp31 and glyoxalase 3
group_2908	feoB_2	Fe(2 ) transporter FeoB
group_2911		hypothetical protein
group_2919		hypothetical protein
group_2954		hypothetical protein
group_3007		hypothetical protein
group_3040		hypothetical protein
group_3063		hypothetical protein
cadA		putative cadmium-transporting ATPase
group_3164		Hyaluronate lyase
group_3168	cfiB_2	2-oxoglutarate carboxylase small subunit
oppB_1		Oligopeptide transport system permease protein OppB
oppC_1		Oligopeptide transport system permease protein OppC
group_3247	oppF_1	Oligopeptide transport ATP-binding protein OppF
group_332		hypothetical protein
group_3399		hypothetical protein
group_3676		hypothetical protein
group_3677		hypothetical protein
group_3780	clpP1	ATP-dependent Clp protease proteolytic subunit 1
group_3846		hypothetical protein
group_3872		hypothetical protein
group_3934		NAD( )--arginine ADP-ribosyltransferase EFV
group_3935		hypothetical protein
group_3984		hypothetical protein
group_4317		hypothetical protein
group_4652		hypothetical protein
group_5131		hypothetical protein
group_5133	lytN_2	putative cell wall hydrolase LytN
group_5155		hypothetical protein
group_5156		hypothetical protein
group_5158		hypothetical protein
group_5159		hypothetical protein
group_5160		hypothetical protein
group_5161		hypothetical protein
group_5162		hypothetical protein
group_5163		hypothetical protein
group_5164		hypothetical protein
group_5172		hypothetical protein
group_5332		hypothetical protein
group_5333		hypothetical protein
psuK_2		Pseudouridine kinase
group_5402		hypothetical protein
group_5506		hypothetical protein
group_5554	flr	FPRL1 inhibitory protein
group_5676		hypothetical protein
group_583	smc_2	Chromosome partition protein Smc
group_6288	ydcV	Inner membrane ABC transporter permease protein YdcV
group_63		hypothetical protein
group_659		hypothetical protein
group_6600	rsmD	Ribosomal RNA small subunit methyltransferase D
group_698		hypothetical protein
group_760		hypothetical protein
lytN_4		putative cell wall hydrolase LytN
group_862	ydfJ	Membrane protein YdfJ
group_955	argO	Arginine exporter protein ArgO
group_1084		hypothetical protein
group_1085	immR_2	HTH-type transcriptional regulator ImmR
group_1148		hypothetical protein
group_115		hypothetical protein
group_134		hypothetical protein
group_1453		hypothetical protein
group_1506	dprA	DNA processing protein DprA
trpD		Anthranilate phosphoribosyltransferase
group_1644	icaA	Poly-beta-1,6-N-acetyl-D-glucosamine synthase
group_1672		Zinc-type alcohol dehydrogenase-like protein
group_1687		hypothetical protein
group_1706	yoeB	hypothetical protein
group_1801		hypothetical protein
group_1816		hypothetical protein
group_216		hypothetical protein
group_2216		hypothetical protein
group_2319		N-acetylmuramoyl-L-alanine amidase domain-containing protein
group_2340		hypothetical protein
group_235		hypothetical protein
group_2352		hypothetical protein
group_236		hypothetical protein
group_2419		hypothetical protein
group_2685	acsA_1	Acetyl-coenzyme A synthetase
group_2752	secA_2	Protein translocase subunit SecA
group_28	sdrD	Serine-aspartate repeat-containing protein D
group_2824	rodA	Peptidoglycan glycosyltransferase RodA
group_2912		hypothetical protein
xerC_4		Tyrosine recombinase XerC
group_3051		hypothetical protein
group_3056	nisP	Nisin leader peptide-processing serine protease NisP
kdpC_2		Potassium-transporting ATPase KdpC subunit
group_3121		hypothetical protein
group_3138		hypothetical protein
group_3147		hypothetical protein
group_3161		hypothetical protein
group_320		hypothetical protein
group_3218		hypothetical protein
group_3219		hypothetical protein
group_3220		hypothetical protein
group_3221		hypothetical protein
group_3353		hypothetical protein
group_3354		hypothetical protein
group_3355		hypothetical protein
group_3378		hypothetical protein
group_34	sdrD	Serine-aspartate repeat-containing protein D
group_358	yezG_3	putative antitoxin YezG
group_3660		hypothetical protein
group_3669		N-acetylmuramoyl-L-alanine amidase domain-containing protein
group_3670		hypothetical protein
group_3671		hypothetical protein
group_3672		hypothetical protein
group_3675		hypothetical protein
group_3678		hypothetical protein
group_3731		hypothetical protein
group_3791		hypothetical protein
group_3796		hypothetical protein
group_3810		hypothetical protein
group_385		hypothetical protein
group_3910		hypothetical protein
group_3936		hypothetical protein
group_3937		hypothetical protein
group_3944		hypothetical protein
group_3952		hypothetical protein
group_3994		hypothetical protein
group_3999		hypothetical protein
group_4000		hypothetical protein
group_4004		hypothetical protein
group_4009	xerC_3	Tyrosine recombinase XerC
group_4022		hypothetical protein
group_4057		NAD( )--arginine ADP-ribosyltransferase EFV
group_4058		hypothetical protein
group_4059		hypothetical protein
group_4060		hypothetical protein
group_4061		hypothetical protein
group_4062		hypothetical protein
group_4063		hypothetical protein
group_4064		hypothetical protein
group_4106		hypothetical protein
group_4123		hypothetical protein
group_4124		hypothetical protein
group_4255	tst_1	Toxic shock syndrome toxin-1
group_4279		hypothetical protein
group_4319		hypothetical protein
group_4320		hypothetical protein
group_4321		hypothetical protein
group_4322		hypothetical protein
group_4323		hypothetical protein
group_4324		hypothetical protein
ssbB		Single-stranded DNA-binding protein B
group_4326		hypothetical protein
group_4327		hypothetical protein
group_4328		hypothetical protein
group_4329		hypothetical protein
group_4330		hypothetical protein
group_4331		hypothetical protein
group_4333		hypothetical protein
group_4334		hypothetical protein
group_4335		hypothetical protein
group_4336		hypothetical protein
topB_1		DNA topoisomerase 3
group_4338		hypothetical protein
group_4339		hypothetical protein
topA_1		DNA topoisomerase 1
group_4342		hypothetical protein
group_4353		hypothetical protein
group_4356		hypothetical protein
group_4358		hypothetical protein
parA		Chromosome partitioning protein ParA
group_4438		hypothetical protein
group_444		hypothetical protein
group_4907		hypothetical protein
group_492		hypothetical protein
group_510		hypothetical protein
group_5152		hypothetical protein
group_5174		hypothetical protein
group_5186		hypothetical protein
group_5205		hypothetical protein
group_5384		hypothetical protein
group_5587		hypothetical protein
group_5588	tst_2	Toxic shock syndrome toxin-1
group_5589		hypothetical protein
group_5590		hypothetical protein
group_566	bin3	Putative transposon Tn552 DNA-invertase bin3
group_586	smc_3	hypothetical protein
group_619		hypothetical protein
group_622		hypothetical protein
group_6762	potB	Spermidine/putrescine transport system permease protein PotB
hsdS		hypothetical protein
group_808	fecD_1	Fe(3 ) dicitrate transport system permease protein FecD
group_83	clfA	Clumping factor A
group_90	yezG_3	putative antitoxin YezG
group_93	yezG_4	putative antitoxin YezG
group_990	der_3	GTPase Der
group_1024	yciC_3	Putative metal chaperone YciC
group_1086	lexA_2	LexA repressor
group_1239		hypothetical protein
group_1384		hypothetical protein
group_159		hypothetical protein
group_1596	dnaE	DNA polymerase III subunit alpha
group_1606		hypothetical protein
group_1664	irtA	Iron import ATP-binding/permease protein IrtA
group_1817		hypothetical protein
group_2013		hypothetical protein
group_2019		hypothetical protein
group_2021	mutS_1	DNA mismatch repair protein MutS
group_2042	dnaD	DNA replication protein DnaD
group_2138	hlgA	Gamma-hemolysin component A
group_220		hypothetical protein
group_2292		hypothetical protein
group_2357		hypothetical protein
group_2360		hypothetical protein
group_237		hypothetical protein
group_2370		hypothetical protein
group_2383	dacA	D-alanyl-D-alanine carboxypeptidase DacA
group_2389		hypothetical protein
group_2405	pepT_2	Peptidase T
group_2418		hypothetical protein
group_2482	tagH_2	Teichoic acids export ATP-binding protein TagH
group_2559	mepA	Multidrug export protein MepA
group_257	yezG_1	putative antitoxin YezG
group_258	yezG_7	putative antitoxin YezG
group_2580	ulaC	Ascorbate-specific PTS system EIIA component
group_2626	ysdC_1	Putative aminopeptidase YsdC
ldhB		L-lactate dehydrogenase 2
group_274	lytN_2	putative cell wall hydrolase LytN
group_2741	graR_1	Response regulator protein GraR
group_2749		N-carbamoylsarcosine amidase
group_2757	hisF	Imidazole glycerol phosphate synthase subunit HisF
group_2886		tRNA-His(gtg)
group_2929	murF_1	UDP-N-acetylmuramoyl-tripeptide--D-alanyl-D-alanine ligase
group_3005		hypothetical protein
group_304		hypothetical protein
group_3069		hypothetical protein
group_3070	topB_1	DNA topoisomerase 3
group_3074		hypothetical protein
group_3128		hypothetical protein
group_3130		hypothetical protein
group_3132	splE_1	Serine protease SplE
group_3214		hypothetical protein
group_3225		hypothetical protein
group_327		hypothetical protein
group_3627		hypothetical protein
group_3662		hypothetical protein
group_3674		hypothetical protein
group_3684		hypothetical protein
group_369		hypothetical protein
entC3		Enterotoxin type C-2
group_3711	entA_2	Enterotoxin type A
group_3761		hypothetical protein
group_3762		hypothetical protein
group_3769		hypothetical protein
group_3801	flr	FPRL1 inhibitory protein
group_3807	xerC_2	Tyrosine recombinase XerC
group_3873		hypothetical protein
traG		Conjugal transfer protein TraG
group_3877		hypothetical protein
group_3878		hypothetical protein
group_3879		hypothetical protein
group_3880		N-acetylmuramoyl-L-alanine amidase domain-containing protein
tcaA_1		Membrane-associated protein TcaA
group_3900		hypothetical protein
group_3907		hypothetical protein
group_3954		hypothetical protein
group_3955		hypothetical protein
group_3961		hypothetical protein
group_4027	tst_1	Toxic shock syndrome toxin-1
group_4030		hypothetical protein
group_4032		hypothetical protein
group_4033		hypothetical protein
group_4034		hypothetical protein
group_405	yezG_2	putative antitoxin YezG
group_4051	dnaC_1	DNA replication protein DnaC
group_4067		hypothetical protein
group_4245		hypothetical protein
group_4354		hypothetical protein
group_4355		hypothetical protein
group_437		hypothetical protein
group_4399		hypothetical protein
group_4577		hypothetical protein
group_4578		hypothetical protein
group_4579		hypothetical protein
group_4580		hypothetical protein
group_487	yezG_5	putative antitoxin YezG
